NOM_MUN,POBTOT,POBFEM,POBMAS,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_60YMAS,P_60YMAS_F,P_60YMAS_M,P_18A24,P_18A24_F,P_18A24_M,P_25A29,P_25A29_F,P_25A29_M,PCON_DISC,P12YM_CASA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,PROM_OCUP,VPH_PISODT,VPH_PISOTI,VPH_C_ELEC,VPH_S_ELEC,VPH_AEASP,VPH_AGUAFV,VPH_DRENAJ,VPH_NODREN,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ
Total de la entidad Ciudad de México,9209944,4805017,4404927,7166737,3798760,3367977,1491619,853207,638412,984186,487898,496288,752289,380208,372081,493589,3731096,6988016,668246,55245,1472848,3.32,2732051,16199,2746872,1917,2655528,29004,2744306,4207,6180,2580111,2279427,1843092,1289361,214550,550349,2165974,2647911,1649403,1898265,2536523,2084156,1290811,957162,568827
Azcapotzalco,432205,227255,204950,345123,184700,160423,78650,45565,33085,43088,21303,21785,34405,17506,16899,24000,171393,335663,29623,2171,63846,3.21,133490,334,133798,38,132706,239,133748,87,188,128896,115721,97011,64567,9851,33588,106789,130067,86856,96128,123961,105899,66399,50965,31801
Coyoacán,614447,325337,289110,500374,269320,231054,126592,73584,53008,63817,31569,32248,47839,23960,23879,34446,247186,463550,39559,2881,106925,3.2,190701,450,191126,61,190474,133,190986,182,268,184255,167211,143006,109429,14520,36902,154275,184451,133587,145013,179280,157908,101660,80413,44991
Cuajimalpa de Morelos,217686,113537,104149,162395,86322,76073,25803,14266,11537,25202,12908,12294,18450,9718,8732,7684,92967,174811,10285,5082,26667,3.6,59692,591,60308,31,56005,285,60144,137,96,55643,51099,43408,33628,4853,5061,47367,58499,37693,42165,56543,46389,31667,24817,14591
Gustavo A. Madero,1173351,609477,563874,911482,480252,431230,203469,116135,87334,126620,61797,64823,91448,45079,46369,68712,463694,901136,90812,4796,174901,3.42,338175,1466,339504,160,336452,755,339341,298,847,318061,276870,217062,143448,24627,66256,264089,327503,185635,228113,306796,246278,143954,95131,60940
Iztacalco,404695,212343,192352,319021,170195,148826,70907,40949,29958,42216,20935,21281,31727,16154,15573,24447,158916,307375,32436,1938,62204,3.43,117149,282,117396,52,116564,93,117387,42,196,111714,97981,79447,53297,8651,26960,92144,114018,72374,82298,108707,91039,53971,40298,25607
Iztapalapa,1835486,947835,887651,1383459,725294,658165,262064,146769,115295,209136,103444,105692,151590,76092,75498,104424,748864,1384540,154092,6142,288659,3.61,500645,2872,503261,300,495107,1278,503213,327,1500,462790,397599,294422,197085,38245,111361,389145,484383,247057,323613,455216,349103,183804,116462,82472
La Magdalena Contreras,247622,129335,118287,189047,100355,88692,38073,21646,16427,27704,13771,13933,19833,10070,9763,13859,103562,199259,13065,1168,33374,3.62,67362,618,67911,76,64656,802,67748,231,190,62927,56903,46528,31226,5245,5764,55272,65741,37699,48042,62286,50653,34426,21456,13357
Milpa Alta,152685,78314,74371,108278,56374,51904,16437,8767,7670,18754,9229,9525,12949,6646,6303,7725,66737,117841,10820,243,23565,3.9,38001,1027,38879,151,31655,4107,38425,605,274,31136,26378,14769,15372,2968,5670,30411,36675,13896,20252,33845,19798,8170,4273,3030
Álvaro Obregón,759137,398130,361007,590251,314600,275651,122319,69602,52717,82778,41501,41277,60708,31159,29549,38175,312904,608016,41833,2767,103417,3.45,217550,1153,218704,74,215911,417,218480,220,435,206829,187834,157147,109289,16985,20336,176390,211976,134949,154631,203151,169135,120733,83063,49379
Tláhuac,392313,202123,190190,288877,151415,137462,46196,25335,20861,46722,23017,23705,33430,16937,16493,20931,165051,297513,33237,923,60125,3.67,104766,1908,106424,243,100130,2291,106400,262,359,96869,82512,58660,41517,10871,38434,82506,101918,50871,64849,96419,71996,42449,22015,15852
Tlalpan,699928,365051,334877,539464,286134,253330,108894,61561,47333,79747,39291,40456,56410,28601,27809,35488,295011,531983,52851,2478,111218,3.44,200099,1801,201635,274,167425,8373,201251,649,495,185793,167823,137446,109549,14510,21993,162465,194433,120475,137033,188352,151857,94253,69538,41272
Xochimilco,442178,226726,215452,332325,172725,159600,60987,33715,27272,51340,25450,25890,36563,17952,18611,23115,189809,343974,32610,1297,63640,3.74,114202,2741,116707,248,98535,9821,116144,809,468,104644,88997,66010,50436,12247,33091,93953,111686,58591,74442,106703,77848,37859,26763,17813
Benito Juárez,434153,232032,202121,372085,201395,170690,87344,52615,34729,33294,16744,16550,37175,19331,17844,18216,176932,305323,24493,4132,99203,2.46,175564,129,175762,29,175492,43,175751,33,114,173596,157519,146509,117981,13355,36766,140916,169785,149689,141364,170360,161786,122608,112039,54473
Cuauhtémoc,545884,284933,260951,444024,234635,209389,93809,55146,38663,51762,25874,25888,50171,25150,25021,29124,203930,378996,40236,5277,119709,2.75,195486,256,195726,82,195261,183,195673,131,343,187837,163848,137214,74419,15170,47753,151662,186150,130963,138201,183557,157682,98006,87040,45215
Miguel Hidalgo,414470,219003,195467,332956,178841,154115,71111,41605,29506,36545,18619,17926,34671,18160,16511,17769,163915,300662,24676,11228,70497,2.81,144245,228,144483,45,144171,109,144398,129,177,140796,128315,112847,83032,12292,31432,112959,139522,109631,109265,137103,124777,88559,77955,39658
Venustiano Carranza,443704,233586,210118,347576,186203,161373,78964,45947,33017,45461,22446,23015,34920,17693,17227,25474,170225,337374,37618,2722,64898,3.26,134924,343,135248,53,134984,75,135217,65,230,128325,112817,91606,55086,10160,28982,105631,131104,79437,92856,124244,102008,62293,44934,28376
